entry_time,exit_time,option_type,strike,strike_type,expiry,entry_price,exit_price,entry_spot,exit_spot,pnl_points,pnl,exit_reason,hold_time_minutes,is_winner
2025-12-16 10:00:00,2025-12-16 10:06:00,PE,25900,ATM,2025-12-16,45.0,45.0,25898.9,25898.0,0.0,0.0,TRAILING_STOP,6.0,False
2025-12-16 10:11:00,2025-12-16 10:18:00,PE,25900,ATM,2025-12-16,48.95,35.85,25890.4,25909.75,-13.100000000000001,-982.5000000000001,STOP_LOSS,7.0,False
2025-12-17 09:16:00,2025-12-17 09:22:00,CE,25900,ATM,2025-12-23,135.95,153.05,25886.8,25913.0,17.100000000000023,1282.5000000000018,TARGET,6.0,True
2025-12-17 09:29:00,2025-12-17 09:43:00,CE,25900,ATM,2025-12-23,146.45,135.35,25903.5,25890.1,-11.099999999999994,-832.4999999999995,STOP_LOSS,14.0,False
2025-12-17 09:45:00,2025-12-17 09:52:00,PE,25900,ATM,2025-12-23,116.75,130.0,25881.55,25853.65,13.25,993.75,TARGET,7.0,True
2025-12-17 09:56:00,2025-12-17 10:06:00,PE,25850,ATM,2025-12-23,99.55,121.45,25872.0,25829.2,21.900000000000006,1642.5000000000005,TARGET,10.0,True
2025-12-18 09:15:00,2025-12-18 09:23:00,PE,25750,ATM,2025-12-23,86.2,76.45,25770.25,25789.65,-9.75,-731.25,STOP_LOSS,8.0,False
2025-12-18 09:38:00,2025-12-18 09:44:00,PE,25800,ATM,2025-12-23,102.15,118.8,25778.2,25745.1,16.64999999999999,1248.7499999999993,TARGET,6.0,True
2025-12-18 09:49:00,2025-12-18 10:08:00,PE,25750,ATM,2025-12-23,97.15,85.3,25740.75,25767.8,-11.850000000000009,-888.7500000000007,STOP_LOSS,19.0,False
2025-12-18 10:10:00,2025-12-18 10:12:00,CE,25750,ATM,2025-12-23,135.1,150.3,25769.25,25792.0,15.200000000000017,1140.0000000000014,TARGET,2.0,True
2025-12-18 10:26:00,2025-12-18 10:33:00,CE,25850,ATM,2025-12-23,113.6,128.1,25825.05,25842.95,14.5,1087.5,TARGET,7.0,True
2025-12-19 09:32:00,2025-12-19 09:49:00,CE,25950,ATM,2025-12-23,108.0,98.05,25961.5,25943.85,-9.950000000000003,-746.2500000000002,STOP_LOSS,17.0,False
2025-12-19 10:00:00,2025-12-19 10:05:00,CE,25950,ATM,2025-12-23,106.55,93.25,25961.3,25942.7,-13.299999999999997,-997.4999999999998,STOP_LOSS,5.0,False
2025-12-22 09:30:00,2025-12-22 10:07:00,CE,26150,ATM,2025-12-23,56.0,52.5,26126.35,26127.95,-3.5,-262.5,TRAILING_STOP,37.0,False
2025-12-22 10:09:00,2025-12-22 10:54:00,CE,26150,ATM,2025-12-23,53.5,56.65,26127.95,26138.45,3.1499999999999986,236.2499999999999,TIME_EXIT,45.0,True
2025-12-22 10:58:00,2025-12-22 11:43:00,CE,26150,ATM,2025-12-23,55.3,50.65,26137.15,26132.9,-4.649999999999999,-348.7499999999999,TIME_EXIT,45.0,False
2025-12-22 11:45:00,2025-12-22 12:30:00,CE,26150,ATM,2025-12-23,51.05,52.35,26135.3,26143.5,1.3000000000000043,97.50000000000031,TIME_EXIT,45.0,True
2025-12-22 12:53:00,2025-12-22 13:38:00,CE,26150,ATM,2025-12-23,48.65,48.2,26144.25,26138.85,-0.44999999999999574,-33.74999999999968,TIME_EXIT,45.0,False
2025-12-22 13:49:00,2025-12-22 14:34:00,CE,26150,ATM,2025-12-23,51.1,57.3,26148.0,26163.35,6.199999999999996,464.99999999999966,TIME_EXIT,45.0,True
2025-12-22 14:39:00,2025-12-22 15:24:00,CE,26150,ATM,2025-12-23,52.95,54.4,26165.9,26167.45,1.4499999999999957,108.74999999999969,TIME_EXIT,45.0,True
2025-12-23 09:16:00,2025-12-23 09:19:00,PE,26150,ATM,2025-12-23,43.75,40.05,26154.85,26166.7,-3.700000000000003,-277.5000000000002,TRAILING_STOP,3.0,False
2025-12-23 09:21:00,2025-12-23 09:22:00,CE,26150,ATM,2025-12-23,54.2,45.7,26169.3,26153.95,-8.5,-637.5,STOP_LOSS,1.0,False
2025-12-23 09:24:00,2025-12-23 09:43:00,PE,26150,ATM,2025-12-23,47.3,59.5,26151.05,26123.1,12.200000000000003,915.0000000000002,TARGET,19.0,True
2025-12-23 09:45:00,2025-12-23 09:48:00,PE,26150,ATM,2025-12-23,56.9,46.9,26126.75,26139.5,-10.0,-750.0,STOP_LOSS,3.0,False
2025-12-23 09:56:00,2025-12-23 10:01:00,CE,26150,ATM,2025-12-23,41.35,55.45,26161.6,26179.2,14.100000000000001,1057.5,TARGET,5.0,True
2025-12-23 10:13:00,2025-12-23 10:19:00,CE,26200,ATM,2025-12-23,30.9,20.6,26188.7,26170.0,-10.299999999999997,-772.4999999999998,STOP_LOSS,6.0,False
2025-12-23 10:33:00,2025-12-23 11:18:00,CE,26150,ATM,2025-12-23,44.95,51.15,26173.15,26190.95,6.199999999999996,464.99999999999966,TIME_EXIT,45.0,True
2025-12-23 11:20:00,2025-12-23 11:35:00,CE,26150,ITM,2025-12-23,53.35,41.35,26192.8,26174.95,-12.0,-900.0,STOP_LOSS,15.0,False
2025-12-23 11:50:00,2025-12-23 11:56:00,PE,26200,ITM,2025-12-23,47.95,39.2,26168.7,26181.1,-8.75,-656.25,STOP_LOSS,6.0,False
2025-12-24 09:18:00,2025-12-24 09:21:00,CE,26200,ATM,2025-12-30,113.25,125.75,26188.05,26212.25,12.5,937.5,TARGET,3.0,True
2025-12-24 09:23:00,2025-12-24 09:47:00,CE,26200,ATM,2025-12-30,120.5,114.0,26204.05,26207.05,-6.5,-487.5,TRAILING_STOP,24.0,False
2025-12-24 09:51:00,2025-12-24 10:36:00,CE,26200,ATM,2025-12-30,122.65,124.15,26218.5,26226.8,1.5,112.5,TIME_EXIT,45.0,True
2025-12-24 10:48:00,2025-12-24 11:21:00,PE,26200,ATM,2025-12-30,80.6,71.2,26208.2,26215.9,-9.399999999999991,-704.9999999999993,STOP_LOSS,33.0,False
2025-12-24 11:23:00,2025-12-24 11:39:00,CE,26200,ATM,2025-12-30,120.95,112.65,26217.5,26207.7,-8.299999999999997,-622.4999999999998,STOP_LOSS,16.0,False
2025-12-24 11:42:00,2025-12-24 12:18:00,PE,26200,ATM,2025-12-30,78.4,73.2,26199.4,26198.95,-5.200000000000003,-390.0000000000002,TRAILING_STOP,36.0,False
2025-12-24 12:26:00,2025-12-24 12:42:00,CE,26200,ATM,2025-12-30,108.55,99.05,26201.3,26190.0,-9.5,-712.5,STOP_LOSS,16.0,False
2025-12-26 09:15:00,2025-12-26 09:18:00,PE,26100,ATM,2025-12-30,75.2,62.85,26107.8,26133.8,-12.350000000000001,-926.2500000000001,STOP_LOSS,3.0,False
2025-12-26 09:26:00,2025-12-26 09:31:00,CE,26150,ATM,2025-12-30,70.4,62.05,26134.75,26123.0,-8.350000000000009,-626.2500000000007,STOP_LOSS,5.0,False
